risk_grade,facilities,actual_default_rate,avg_model_pd,total_ead_hkd,total_expected_loss_hkd,el_rate
A (Prime),609,0.016420361247947456,0.02067639574656234,391201000,3393380.295054778,0.008674262834335235
B (Low),1117,0.05729632945389436,0.05016163494960883,723897000,16248403.18844548,0.022445739087805974
C (Medium),477,0.10062893081761007,0.10846316870322298,318648000,16021767.612227235,0.05028045872632885
D (High),359,0.22841225626740946,0.2141680775268604,299642000,29215918.953274444,0.09750274979233367
E (Decline),438,0.4657534246575342,0.49465838211141694,379669000,82667829.29512218,0.2177365792180088
